2024-08-02 | hospedagem ,exceto do parlamentar no distrito federal. | 197.4 | afonso hamm | pp | rs
2024-08-02 | manutenção de escritório de apoio à atividade parlamentar | 600.0 | afonso hamm | pp | rs
2024-08-02 | passagem aérea - sigepa | 4675.58 | afonso hamm | pp | rs
2024-08-02 | serviço de táxi, pedágio e estacionamento | 13.67 | afonso hamm | pp | rs
2024-08-02 | telefonia | 149.99 | afonso hamm | pp | rs
2024-08-02 | combustíveis e lubrificantes. | 2189.22 | aguinaldo ribeiro | pp | pb
2024-08-02 | divulgação da atividade parlamentar. | 3875.0 | aguinaldo ribeiro | pp | pb
2024-08-02 | locação ou fretamento de veículos automotores | 12399.0 | aguinaldo ribeiro | pp | pb
2024-08-02 | passagem aérea - sigepa | 4980.91 | aguinaldo ribeiro | pp | pb
2024-08-02 | combustíveis e lubrificantes. | 2218.51 | afonso motta | pdt | rs
2024-08-02 | divulgação da atividade parlamentar. | 2500.0 | afonso motta | pdt | rs
2024-08-02 | locação ou fretamento de veículos automotores | 4800.0 | afonso motta | pdt | rs
2024-08-02 | passagem aérea - sigepa | 2832.5299999999997 | afonso motta | pdt | rs
2024-08-02 | serviço de táxi, pedágio e estacionamento | 43.98 | afonso motta | pdt | rs
2024-08-02 | combustíveis e lubrificantes. | 3351.08 | acácio favacho | mdb | ap
2024-08-02 | manutenção de escritório de apoio à atividade parlamentar | 9741.54 | acácio favacho | mdb | ap
2024-08-02 | passagem aérea - sigepa | 1664.6599999999999 | acácio favacho | mdb | ap
2024-08-02 | combustíveis e lubrificantes. | 1880.21 | airton faleiro | pt | pa
2024-08-02 | divulgação da atividade parlamentar. | 9304.62 | airton faleiro | pt | pa
2024-08-02 | fornecimento de alimentação do parlamentar | 74.61 | airton faleiro | pt | pa
2024-08-02 | passagem aérea - sigepa | 3178.87 | airton faleiro | pt | pa
2024-08-02 | combustíveis e lubrificantes. | 1756.68 | adriana ventura | novo | sp
2024-08-02 | divulgação da atividade parlamentar. | 4000.0 | adriana ventura | novo | sp
2024-08-02 | manutenção de escritório de apoio à atividade parlamentar | 4875.68 | adriana ventura | novo | sp
2024-08-02 | passagem aérea - sigepa | 2596.88 | adriana ventura | novo | sp
2024-08-02 | combustíveis e lubrificantes. | 1960.58 | aj albuquerque | pp | ce
2024-08-02 | divulgação da atividade parlamentar. | 9130.0 | aj albuquerque | pp | ce
2024-08-02 | passagem aérea - sigepa | 5068.139999999999 | aj albuquerque | pp | ce
2024-08-02 | combustíveis e lubrificantes. | 3128.64 | adolfo viana | psdb | ba
2024-08-02 | divulgação da atividade parlamentar. | 3097.0 | adolfo viana | psdb | ba
2024-08-02 | manutenção de escritório de apoio à atividade parlamentar | 4233.57 | adolfo viana | psdb | ba
2024-08-02 | passagem aérea - sigepa | -1941.22 | adolfo viana | psdb | ba
2024-08-02 | combustíveis e lubrificantes. | 817.82 | abilio brunini | pl | mt
2024-08-02 | manutenção de escritório de apoio à atividade parlamentar | 5729.18 | abilio brunini | pl | mt
2024-08-02 | passagem aérea - sigepa | 75.0 | abilio brunini | pl | mt
2024-08-02 | combustíveis e lubrificantes. | 3646.93 | adail filho | republicanos | am
2024-08-02 | manutenção de escritório de apoio à atividade parlamentar | 1074.8600000000001 | adail filho | republicanos | am
2024-08-02 | passagem aérea - sigepa | 719.27 | adail filho | republicanos | am
2024-08-02 | combustíveis e lubrificantes. | 2150.14 | adilson barroso | pl | sp
2024-08-02 | manutenção de escritório de apoio à atividade parlamentar | 2351.48 | adilson barroso | pl | sp
2024-08-02 | passagem aérea - sigepa | -274.02 | adilson barroso | pl | sp
2024-08-03 | combustíveis e lubrificantes. | 2372.44 | alberto fraga | pl | df
2024-08-03 | hospedagem ,exceto do parlamentar no distrito federal. | 396.0 | alberto fraga | pl | df
2024-08-03 | combustíveis e lubrificantes. | 1915.58 | aécio neves | psdb | mg
2024-08-03 | fornecimento de alimentação do parlamentar | 70.5 | aécio neves | psdb | mg
2024-08-03 | passagem aérea - sigepa | -28.85 | aécio neves | psdb | mg
2024-08-03 | combustíveis e lubrificantes. | 7494.42 | alberto mourão | mdb | sp
2024-08-03 | fornecimento de alimentação do parlamentar | 68.0 | alberto mourão | mdb | sp
2024-08-03 | combustíveis e lubrificantes. | 2198.25 | adriano do baldy | pp | go
2024-08-03 | telefonia | 268.87 | adriano do baldy | pp | go
2024-08-03 | combustíveis e lubrificantes. | 3504.25 | afonso hamm | pp | rs
2024-08-03 | telefonia | 981.62 | afonso hamm | pp | rs
2024-08-03 | combustíveis e lubrificantes. | 3316.82 | aguinaldo ribeiro | pp | pb
2024-08-03 | serviço de táxi, pedágio e estacionamento | 50.97 | aguinaldo ribeiro | pp | pb
2024-08-03 | telefonia | 177.61 | aguinaldo ribeiro | pp | pb
2024-08-03 | combustíveis e lubrificantes. | 3019.42 | afonso motta | pdt | rs
2024-08-03 | manutenção de escritório de apoio à atividade parlamentar | 53.8 | afonso motta | pdt | rs
2024-08-03 | passagem aérea - sigepa | 2156.15 | afonso motta | pdt | rs
2024-08-03 | combustíveis e lubrificantes. | 1005.78 | acácio favacho | mdb | ap
2024-08-03 | manutenção de escritório de apoio à atividade parlamentar | 1787.79 | acácio favacho | mdb | ap
2024-08-03 | combustíveis e lubrificantes. | 2249.47 | airton faleiro | pt | pa
2024-08-03 | fornecimento de alimentação do parlamentar | 55.0 | airton faleiro | pt | pa
2024-08-03 | combustíveis e lubrificantes. | 3398.7200000000003 | adriana ventura | novo | sp
2024-08-03 | manutenção de escritório de apoio à atividade parlamentar | 285.14 | adriana ventura | novo | sp
2024-08-03 | telefonia | 232.25 | adriana ventura | novo | sp
2024-08-03 | combustíveis e lubrificantes. | 2836.0699999999997 | aj albuquerque | pp | ce
2024-08-03 | combustíveis e lubrificantes. | 2294.08 | adolfo viana | psdb | ba
2024-08-03 | fornecimento de alimentação do parlamentar | 64.9 | adolfo viana | psdb | ba
2024-08-03 | manutenção de escritório de apoio à atividade parlamentar | 1863.26 | adolfo viana | psdb | ba
2024-08-03 | combustíveis e lubrificantes. | 761.38 | abilio brunini | pl | mt
2024-08-03 | manutenção de escritório de apoio à atividade parlamentar | 1145.87 | abilio brunini | pl | mt
2024-08-03 | combustíveis e lubrificantes. | 1236.69 | adail filho | republicanos | am
2024-08-03 | manutenção de escritório de apoio à atividade parlamentar | 4105.12 | adail filho | republicanos | am
2024-08-03 | combustíveis e lubrificantes. | 1402.71 | adilson barroso | pl | sp
2024-08-03 | manutenção de escritório de apoio à atividade parlamentar | 467.74 | adilson barroso | pl | sp
2024-08-04 | combustíveis e lubrificantes. | 2233.75 | alberto fraga | pl | df
2024-08-04 | passagem aérea - sigepa | 1959.07 | alberto fraga | pl | df
2024-08-04 | combustíveis e lubrificantes. | 2913.12 | aécio neves | psdb | mg
2024-08-04 | combustíveis e lubrificantes. | 1670.16 | alberto mourão | mdb | sp
2024-08-04 | hospedagem ,exceto do parlamentar no distrito federal. | 325.48 | alberto mourão | mdb | sp
2024-08-04 | passagem aérea - sigepa | 1471.1 | alberto mourão | mdb | sp
2024-08-04 | combustíveis e lubrificantes. | 2852.56 | adriano do baldy | pp | go
2024-08-04 | passagem aérea - sigepa | 1471.1 | adriano do baldy | pp | go
2024-08-04 | combustíveis e lubrificantes. | 4210.07 | afonso hamm | pp | rs
2024-08-04 | passagem aérea - sigepa | 1484.07 | afonso hamm | pp | rs
2024-08-04 | combustíveis e lubrificantes. | 1911.06 | aguinaldo ribeiro | pp | pb
2024-08-04 | passagem aérea - sigepa | 638.39 | aguinaldo ribeiro | pp | pb
2024-08-04 | combustíveis e lubrificantes. | 2158.87 | afonso motta | pdt | rs
2024-08-04 | passagem aérea - sigepa | 1569.52 | afonso motta | pdt | rs
2024-08-04 | combustíveis e lubrificantes. | 536.81 | acácio favacho | mdb | ap
2024-08-04 | manutenção de escritório de apoio à atividade parlamentar | 33.03 | acácio favacho | mdb | ap
2024-08-04 | combustíveis e lubrificantes. | 3882.7799999999997 | airton faleiro | pt | pa
2024-08-04 | serviço de táxi, pedágio e estacionamento | 63.93 | airton faleiro | pt | pa
2024-08-04 | combustíveis e lubrificantes. | 4432.46 | adriana ventura | novo | sp
2024-08-04 | passagem aérea - sigepa | 1490.92 | adriana ventura | novo | sp
2024-08-04 | combustíveis e lubrificantes. | 2363.58 | aj albuquerque | pp | ce
2024-08-04 | fornecimento de alimentação do parlamentar | 60.15 | aj albuquerque | pp | ce
2024-08-04 | passagem aérea - sigepa | -1959.07 | aj albuquerque | pp | ce
2024-08-04 | serviço de táxi, pedágio e estacionamento | 60.0 | aj albuquerque | pp | ce
2024-08-04 | combustíveis e lubrificantes. | 3438.95 | adolfo viana | psdb | ba
